paper_id,judge_model,judge_prompt,generator_model,summary_style,completeness_and_relevance.score,factual_accuracy.score,hallucination.score,prompt_following.score,research_question.score,terminology_explanation_and_coherence.score
VR_Robotics_Stroke_Rehab,gemini,basic,llama3,short,10,10,10,10,10,8
sky_prompt_revision_bias,gemini,basic,llama3,short,5,10,10,10,7,9
LightGCN,gemini,basic,llama3,short,5,4,5,10,10,6
LouvainAlgorithm,gemini,basic,llama3,short,7,7,5,10,9,8
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,basic,llama3,short,8,8,5,10,9,8
Reversing_Large_Language_Models,gemini,basic,llama3,short,8,9,0,10,9,8
unifiedquantum,gemini,basic,llama3,short,0,4,10,10,3,3
Multiscale_Training_GNNs,gemini,basic,llama3,short,7,9,10,0,7,6
Exoskeletons_Stroke,gemini,basic,llama3,short,10,10,10,10,10,10
Digital_Health_in_Stroke_Rehab,gemini,basic,llama3,short,7,6,8,10,8,7
sky_crowdsource_lameness,gemini,basic,llama3,short,7,7,5,10,9,8
ispforquantumchem,gemini,basic,llama3,short,0,10,0,0,0,10
thorax-2025-223770.full,gemini,basic,llama3,short,5,3,5,10,10,7
YamakawaZhandry,gemini,basic,llama3,short,0,0,0,0,0,0
2022_BMJ_Christmas_on the 12th day,gemini,basic,llama3,short,10,10,10,10,8,9
sky_redefine_lameness,gemini,basic,llama3,short,5,5,10,5,6,7
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,basic,llama3,short,3,3,10,10,8,5
Glove_Stroke,gemini,basic,llama3,short,9,9,10,10,9,8
debertnext,gemini,basic,llama3,short,7,8,7,10,9,8
sky_dominance_calculation,gemini,basic,llama3,short,8,8,5,10,10,10
VR_Robotics_Stroke_Rehab,gemini,basic,anthropic,short,10,10,10,10,10,10
sky_prompt_revision_bias,gemini,basic,anthropic,short,10,10,0,10,10,9
LightGCN,gemini,basic,anthropic,short,10,10,10,5,9,9
LouvainAlgorithm,gemini,basic,anthropic,short,10,10,10,5,10,9
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,basic,anthropic,short,10,10,10,10,10,9
Reversing_Large_Language_Models,gemini,basic,anthropic,short,10,10,10,5,10,9
unifiedquantum,gemini,basic,anthropic,short,10,10,10,0,10,8
Multiscale_Training_GNNs,gemini,basic,anthropic,short,9,10,0,5,9,9
Exoskeletons_Stroke,gemini,basic,anthropic,short,10,10,10,10,10,10
Digital_Health_in_Stroke_Rehab,gemini,basic,anthropic,short,10,10,10,5,10,10
sky_crowdsource_lameness,gemini,basic,anthropic,short,10,10,10,10,10,9
ispforquantumchem,gemini,basic,anthropic,short,10,9,10,0,9,8
thorax-2025-223770.full,gemini,basic,anthropic,short,10,10,10,10,10,10
YamakawaZhandry,gemini,basic,anthropic,short,10,9,10,0,10,8
2022_BMJ_Christmas_on the 12th day,gemini,basic,anthropic,short,10,10,10,5,10,9
sky_redefine_lameness,gemini,basic,anthropic,short,10,10,10,10,10,10
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,basic,anthropic,short,10,10,10,10,10,9
Glove_Stroke,gemini,basic,anthropic,short,10,10,10,10,10,10
debertnext,gemini,basic,anthropic,short,10,10,10,5,10,10
sky_dominance_calculation,gemini,basic,anthropic,short,10,10,10,10,10,10
VR_Robotics_Stroke_Rehab,gemini,basic,gemini,short,10,10,10,10,10,10
sky_prompt_revision_bias,gemini,basic,gemini,short,9,10,10,10,9,9
LightGCN,gemini,basic,gemini,short,10,10,10,10,10,9
LouvainAlgorithm,gemini,basic,gemini,short,10,10,10,10,9,8
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,basic,gemini,short,10,10,10,10,10,9
Reversing_Large_Language_Models,gemini,basic,gemini,short,9,10,10,10,9,8
unifiedquantum,gemini,basic,gemini,short,10,10,10,5,9,9
Multiscale_Training_GNNs,gemini,basic,gemini,short,9,10,10,10,9,9
Exoskeletons_Stroke,gemini,basic,gemini,short,10,10,10,10,10,10
Digital_Health_in_Stroke_Rehab,gemini,basic,gemini,short,10,10,10,5,10,10
sky_crowdsource_lameness,gemini,basic,gemini,short,10,10,10,10,10,10
ispforquantumchem,gemini,basic,gemini,short,10,10,10,5,10,9
thorax-2025-223770.full,gemini,basic,gemini,short,10,10,10,10,10,9
YamakawaZhandry,gemini,basic,gemini,short,9,9,10,10,9,8
2022_BMJ_Christmas_on the 12th day,gemini,basic,gemini,short,10,10,10,5,9,9
sky_redefine_lameness,gemini,basic,gemini,short,10,10,10,10,9,8
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,basic,gemini,short,10,10,10,10,10,9
Glove_Stroke,gemini,basic,gemini,short,10,10,10,10,10,10
debertnext,gemini,basic,gemini,short,10,10,10,10,10,10
sky_dominance_calculation,gemini,basic,gemini,short,10,10,10,10,10,10
VR_Robotics_Stroke_Rehab,gemini,basic,llama3,long,10,10,10,5,10,7
sky_prompt_revision_bias,gemini,basic,llama3,long,5,9,10,0,7,8
LightGCN,gemini,basic,llama3,long,5,8,5,0,10,9
LouvainAlgorithm,gemini,basic,llama3,long,5,5,5,0,10,8
